# Family Tree of the Greek Gods
# Mainly based on this Wikipedia article:
# https://en.wikipedia.org/wiki/Family_tree_of_the_Greek_gods

# Random Mortals
Alcmene	woman	???	???
Cadmus	man	???	???
Ariadne	woman	???	???
Tithonus	man	???	???
Peleus	man	???	???
Cephalus	man	???	???
Jason	man	???	???
Anchises	man	???	???
Iasion	man	???	???
Odysseus	man	???	???


# The First Gods
Chaos	woman	???	???
Tartarus	man	???	???
Gaia	woman	???	???
Eros	man	???	???

Erebus	man	Chaos	???
Nyx	woman	Chaos	???

Aether	man	Nyx	Erebus
Hemera	woman	Nyx	Erebus

Uranus	man	Gaia	???
The Ourea	woman	Gaia	???
Pontus	man	Gaia	???


# The Titans
Oceanus	man	Gaia	Uranus
Tethys	woman	Gaia	Uranus
Hyperion	man	Gaia	Uranus
Theia	woman	Gaia	Uranus
Coeus	man	Gaia	Uranus
Phoebe	woman	Gaia	Uranus
Cronus	man	Gaia	Uranus
Rhea	woman	Gaia	Uranus
Themis	woman	Gaia	Uranus
Mnemosyne	woman	Gaia	Uranus
Crius	man	Gaia	Uranus
Iapetus	man	Gaia	Uranus

## The Cyclopes
Brontes	man	Gaia	Uranus
Steropes	man	Gaia	Uranus
Arges	man	Gaia	Uranus

## The Hecatoncheires
Cottus	man	Gaia	Uranus
Briareos	man	Gaia	Uranus
Gyges	man	Gaia	Uranus


## The Erinyes
Alecto	woman	Gaia	Uranus
Megaera	woman	Gaia	Uranus
Tisiphone	woman	Gaia	Uranus

The Gigantes	man	Gaia	Uranus
The Meliae	woman	Gaia	Uranus
Aphrodite	woman	???	Uranus


# The First Olympians
Demeter	woman	Rhea	Cronus
Hestia	woman	Rhea	Cronus
Hera	woman	Rhea	Cronus
Hades	man	Rhea	Cronus
Poseidon	man	Rhea	Cronus
Zeus	man	Rhea	Cronus


# Children of Nyx
Moros	man	Nyx	???
Thanatos	man	Nyx	???
The Oneiroi	man	Nyx	???
Oizys	woman	Nyx	???
Nemesis	woman	Nyx	???
Philotes	woman	Nyx	???
Ker	man	Nyx	???
Hypnos	man	Nyx	???
Momus	man	Nyx	???
The Keres	woman	Nyx	???
Apate	woman	Nyx	???
Geras	man	Nyx	???
Eris	woman	Nyx	???

## The Moirai
